Results from recursive code:

(index, middle, newIssue)

1: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
2: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
3: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
4: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
5: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
6: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
7: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
8: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
9: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
10: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
11: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000


Results from nonRecursive code:


: 5000000000000000000000000000000000000 75000000000000000000000000000000000000000000000000000000000000000000000000
2: 2588190451025207524672631268239738465 93301270189221932849697262281695657338172164456765779680539878228399443775
3: 1305261922200515970508197193025746214 98296291314453414193845343775723574795980339522852677283628982528464666204
4: 654031292301430705564472828360354306 99572243068690520508291532023280070552807472537028130527490550038147258364
5: 327190828217761416115349641318665315 99892946161930175339862112380346323308989943487798683179529648587015950775
6: 163617316264867806912369852674358099 99973229373818282224606228639873643772528295759650048509585978458313106199
7: 81811396039371289668901102879429483 99993306895478089143658183547524795989909225277906055720606623252430352711
8: 40906040262347897992433593872782762 99998326695870055172712784763842344044338357315455649457438002518355651356
9: 20453062911640952030903680878422282 99999581672217532457341656576778118403094571823667179709012778774485912476
10: 10226536803383045612602795143129001 99999895417945009052079081832945754908986780368080449432863198499072741999
11: 5113269070136975022770602057136429 99999973854479416380554805390307435068842696045097230984227814912481127959
31415926193653841596779158834066503680
